style,prompt,evaluation_seed
cinematic,A cinematic frame capturing majestic weather and mood around the rocky canyon.,7465
high contrast,A high contrast scenic shot portraying sun-drenched mountains and the tropical island in harmony.,18690
studio lighting,A studio lighting photograph depicting the serene stillness of the hidden waterfall at dawn.,48658
landscape,"A detailed landscape landscape image of the volcanic crater, radiating icy energy and depth.",31256
long exposure,"A long exposure landscape scene portraying a softly lit rolling hills, with cinematic composition.",19323
monochrome,"A carefully composed monochrome photo of the city skyline, filled with softly lit tones.",10399
bokeh,"A nature photo taken in bokeh style, highlighting a luminous rocky canyon with soft shadows.",41737
cinematic,"A cinematic landscape scene of a serene lake beneath ethereal clouds, 8k resolution realism.",4200
architectural,"A architectural capture of a glowing tropical island, rendered in photorealistic lighting.",32567
long exposure,A long exposure photograph depicting the breathtaking stillness of the mountain range at dawn.,42272
overexposed,"A overexposed photograph of a vivid misty jungle, emphasizing natural light and balanced tones.",5929
high contrast,A high contrast scenic shot portraying luminous mountains and the misty jungle in harmony.,6672
minimalist,"A nature photo taken in minimalist style, highlighting a moody desert dunes with soft shadows.",40619
food,"A food fine-art photo illustrating the frozen river, subtle and mysterious.",28487
product,"An evocative product landscape photograph of the desert dunes, balanced and breathtaking.",14640
product,"A finely detailed product photograph of the mountain range, with breathtaking depth and perspective.",18552
food,"A food landscape scene of a frozen river beneath serene clouds, 8k resolution realism.",13096
long exposure,"A wide panoramic long exposure view of a luminous snowy meadow, emphasizing scale and tranquility.",42789
fashion,A fashion frame capturing vivid weather and mood around the snowy meadow.,15157
underexposed,"A underexposed outdoor shot of a snowy meadow, featuring shadowed lighting and natural tones.",43117
street photography,"In street photography photography, a sun-drenched depiction of the volcanic crater during twilight.",31244
long exposure,A long exposure photograph depicting the golden stillness of the coral beach at dawn.,11231
fisheye,A detailed fisheye image illustrating the mountain range with serene lighting and tone.,32675
portrait,"A portrait photography composition of the stormy sea, highlighting its majestic environment.",31554
bokeh,"A documentary-style bokeh image of the city skyline, deeply sun-drenched and realistic.",6318
muted colors,"A muted colors exploration of the rolling hills, revealing dramatic forms and light gradients.",9922
long exposure,"A large-format long exposure photo of a serene tropical island, realistic lighting and crisp detail.",12733
dreamy,"A dreamy landscape taken with tranquil precision, showing the volcanic crater in full glory.",36926
telephoto,"A telephoto outdoor shot of a coastal cliffs, featuring moody lighting and natural tones.",4377
high saturation,A high saturation panoramic capture showing the icy openness of the autumn woodland.,40376
infrared,"A infrared exploration of the dense pine forest, revealing vivid forms and light gradients.",24368
overexposed,"A overexposed photography piece showing the volcanic crater, filled with crisp atmosphere.",48421
infrared,"A nature photo taken in infrared style, highlighting a ethereal rocky canyon with soft shadows.",20977
landscape,"A landscape photography piece showing the tropical island, filled with crisp atmosphere.",12688
astrophotography,"A finely detailed astrophotography photograph of the city skyline, with mist-covered depth and perspective.",21464
HDR,"A HDR photo of the sunlit meadow, rich in texture and serene atmosphere.",26997
blue hour,A blue hour frame capturing ethereal weather and mood around the ancient ruins.,29538
fisheye,An outdoor fisheye photo portraying the frozen river in radiant natural tones.,37022
sepia tone,"A sepia tone landscape taken with luminous precision, showing the mountain range in full glory.",20665
high contrast,"A high contrast fine-art photo illustrating the sunlit meadow, subtle and tranquil.",28007
pastel tone,"In pastel tone style, a detailed shot of a softly lit hidden waterfall surrounded by nature.",48812
fashion,A fashion panoramic capture showing the dramatic openness of the tropical island.,10376
landscape,"In landscape style, a detailed shot of a dramatic volcanic crater surrounded by nature.",33773
wide-angle,"A wide-angle landscape taken with sun-drenched precision, showing the forest valley in full glory.",26663
underexposed,"A underexposed photography composition of the tropical island, highlighting its golden environment.",17610
dreamy,"In a dreamy mood, this image captures the crisp serenity of the mountain range.",33540
blue hour,"A blue hour photography piece showing the coastal cliffs, filled with crisp atmosphere.",12260
studio lighting,"An evocative studio lighting landscape photograph of the misty jungle, balanced and melancholic.",42270
astrophotography,"In astrophotography fashion, the forest valley is shown in majestic hues and natural gradients.",3224
landscape,A landscape panoramic capture showing the sun-drenched openness of the dense pine forest.,1490
high saturation,"In high saturation photography, a luminous depiction of the autumn woodland during twilight.",49833
landscape,"A carefully composed landscape photo of the city skyline, filled with icy tones.",37287
blue hour,"A large-format blue hour photo of a luminous forest valley, realistic lighting and crisp detail.",18948
natural lighting,A natural lighting scenic shot portraying melancholic mountains and the coral beach in harmony.,10308
portrait,A portrait photograph depicting the melancholic stillness of the ancient ruins at dawn.,16348
architectural,"A architectural picture of the mountain range, taken from a high vantage point showing its moody beauty.",546
film grain,A detailed film grain image illustrating the autumn woodland with moody lighting and tone.,21431
minimalist composition,"A minimalist composition landscape scene of a forest valley beneath melancholic clouds, 8k resolution realism.",9085
food,A food travel photo that captures the mysterious essence of the rocky canyon.,45945
wide-angle,A wide-angle view emphasizing dramatic patterns and contrast within the mountain range.,28564
blue hour,A detailed blue hour image illustrating the serene lake with golden lighting and tone.,13900
film grain,A film grain panoramic capture showing the melancholic openness of the volcanic crater.,2596
